ID,Name,Start_Date,End_Date,Price_Model,Total_Limit_Salesforce,Campaign_Delivery_Status,Daily_Limit,Total_Limit,Impressions,CVVs,%Delivered,VCR,Vlook_up,Account_Manager,Placement_IDs,Analyst,Booked_Limit
299923,ACCS - Group M - L’Oreal CZ - Sep17 - Sep30 - SK,09/19/2025,09/30/2025,CPM,,Not Delivered in Full,"95,703","1,148,437","1,111,161",0,1,,"299,923",Sesil Kaprilyan,C-003108,Rajesh Kumar,1093749
299924,ACCS - Group M - L’Oreal CZ - Sep17 - Sep30 - HU,09/19/2025,09/30/2025,CPM,,Not Delivered in Full,"113,049","1,356,588","1,327,481",0,1,,"299,924",Sesil Kaprilyan,C-003109,Rajesh Kumar,1292941
299653,ACCS - GroupM CZ - Nestle CZ - Purina - Jul11 - Sep30,11/07/2025,09/30/2025,CPCV,,Not Delivered in Full,"7,246","400,000","423,378","399,442",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299836,ACCS - Digiline Tipos - Sep1 - Sept28,03/09/2025,09/30/2025,CPCV,,Not Delivered in Full,"15,000","210,881","232,778","210,095",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299879,ACSR - Publicis Media SRB EMEA_Samsung Serbia - Sep9 - Sep30,11/09/2025,09/30/2025,CPCV,,Delivered in Full,"11,052","210,000","228,445","210,048",1,,"299,879",Sesil Kaprilyan,C-003029,Mohamed Arsath,200000
299351,ACLAUS - Shell - May1 - Sep30,08/05/2025,09/30/2025,CPM,,Not Delivered in Full,"100,000","3,860,000","3,784,478","3,487,311",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299832,ACTR - Big Babol - Mediacom - Sep1 - Sep30,08/31/2025,09/30/2025,CPCV,,Delivered in Full,"20,000","582,272","622,171","582,606",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299837,ACTR - Speed Medya TR - Bim TR - Sep3 - Sep30,02/09/2025,09/30/2025,CPCV,,Delivered in Full,"48,000","1,312,500","1,457,908","1,312,773",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299848,ACTR - Vivaki TR - CarrefourSA - Sep4 - Sep30,04/09/2025,09/30/2025,CPCV,,Delivered in Full,"10,000","252,000","268,740","252,042",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299875,ACTR - Speed Medya TR - Bim TR - Sep11 - Sep30,10/09/2025,09/30/2025,CPCV,,Delivered in Full,"108,553","2,062,500","2,244,159","2,065,010",1,,#N/A,Not Found,Not Found,Not Found,Not Found
